,title,money
79,図解　ギリシア神話 歴史がおもしろいシリーズ,￥297
78,海外ドラマはたった350の単語でできている [英語マスターシリーズ],￥297
77,ナンパ初心者のための声かけ会話の教科書,"￥1,250"
76,まんがで鍛える 脳の強化書―――私、成長したいんです・・・(Business ComicSeries),"￥1,254"
75,トラウマ　ララバイ,￥99
74,起業で絶対に失敗したくない人の為の 科学的な第三のフリーランス起業術 ～スモールスタートアップ～,￥99
73,21世紀のビジネスにデザイン思考が必要な理由,"￥1,408"
72,地球の歩き方 ガチ冒険～地球の歩き方社員の旅日記～ (地球の歩き方D-Books),￥99
71,１週間で８割捨てる技術,"￥1,287"
70,潜在意識の使い方を間違っていました！: 意識が変われば体も変わる,￥99
69,大麻ビジネス最前線: Green Rush in 21st century (未来文庫),￥680
68,「統計学」のマージャン戦術 (近代麻雀戦術シリーズ),"￥1,287"
67,超カンタンにわかる！麻雀入門　牌、役、アガリこれだけ覚えればバッチリ！,"￥1,024"
66,「わかりやすい」文章を書く全技術100,￥99
65,「無理」の構造 ―この世の理不尽さを可視化する,"￥1,555"
64,あなたを変える52の心理ルール (中経の文庫),￥634
63,『引き寄せの法則』を正しく理解して活用する方法: 【左脳系スピリチュアル文庫】シークレットやエイブラハムでも語られなかった引き寄せの真実 １コインで学ぶ真理,￥450
62,マラソンと食事: 伝統食とアミノ酸で、フルマラソンを制する (22世紀アート),￥500
61,内向型を強みにする,￥800
60,ハリー・ポッターと賢者の石: Harry Potter and the Philosopher's Stone ハリー・ポッタ (Harry Potter),￥600
59,人生が整う 家事の習慣,￥297
58,たった１分で人生が変わる 片づけの習慣 (中経の文庫),￥565
57,毎日パパッと、整う暮らし　わたしの「家じかん」ルール,"￥1,089"
56,仕事が速いのにミスしない人は、何をしているのか？,"￥1,372"
55,セックスしたがる男、愛を求める女,￥990
54,1時間でわかるビットコイン入門　～1円から送る・使う・投資する～ (NextPublishing),￥550
53,Pythonでの自動化・仕事効率化入門 - スクレイピング編 - Pythonを使って仕事を楽にしよう。,￥540
52,Pythonでの自動化・仕事効率化入門 - Excel編 - Pythonを使って仕事を楽にしよう,￥540
51,Pythonでブラウザを自動操作してみよう,￥300
50,PythonでGUI自動化をしよう: マウス＆キーボード,￥250
49,ナショナル ジオグラフィック日本版　2017年5月号 [雑誌],"￥1,029"
48,Pythonスクレイピングの基本と実践 データサイエンティストのためのWebデータ収集術 impress top gearシリーズ,"￥3,267"
47,Python Flask 人工知能API 超入門 -  Python 人工知能 API を使った LINE bot(ラインボット) を作ろう,￥500
46,プログラミング超初心者が初心者になるためのPython入門（１）　セットアップ・文字列・数値編,￥250
45,Pythonゲームプログラミング　知っておきたい数学と物理の基本 (Future Coders（NextPublishing）),"￥2,574"
44,Pythonの文法は覚えたけど「じゃあこれで何ができるんだ？」と思っている人のための本,￥250
43,新装版　問題解決のためのデータ分析,"￥1,485"
42,１問1答でわかる。はじめてのPythonプログラミング,￥380
41,Pythonをおぼえた人がGUIアプリケーション開発をするためのtkinter速習入門: 標準ライブラリでGUI作成,￥350
40,プログラミング超初心者が初心者になるためのPython入門（２）　リスト・タプル・ディクショナリ・if・for ループ編,￥250
39,Python3 + Django2.0入門 - Pythonで作るWebアプリケーション開発入門 - その１,"￥1,084"
38,人工知能プログラミングのための数学がわかる本,"￥2,475"
37,マンガと図解でスッキリわかる　プログラミングのしくみ,"￥2,090"
36,Pythonの文法を覚えた人がもっと理解を深めるための本,￥350
35,新MT4対応 FXメタトレーダープログラミング入門,￥900
34,プログラミング超初心者が初心者になるためのPython入門（３） 関数・クラス編,￥250
33,Python3エンジニア認定基礎試験問題集　第3版,"￥1,200"
32,Pythonで作るはじめてのサーバレスアプリケーション,"￥1,080"
31,英検準1級英単語4100: 楽々合格を目指す。すこし難しめ。発音記号付き。 英検単語シリーズ,￥185
30,iPadはかどる！便利技（全iPad対応の最新版）,"￥1,300"
29,iPad完全マニュアル2020（全機種対応／iPadOSの基本から活用技まで詳細解説）,"￥1,100"
28,iPad完全マニュアル2019,￥880
27,会社では教えてもらえない　仕事が速い人の手帳・メモのキホン 【会社では教えてもらえないシリーズ】,"￥1,386"
26,１日ひとつだけ、強くなる。,￥708
25,会社では教えてもらえない　仕事がデキる人の資料作成のキホン 【会社では教えてもらえないシリーズ】,￥850
24,「超」AI整理法　無限にためて瞬時に引き出す,￥817
23,世界一おもしろい　世界史の授業 (中経の文庫),￥382
22,わいるどらいふっ！　身近な生きもの観察図鑑,￥440
21,文系でもよくわかる　世界の仕組みを物理学で知る,"￥1,232"
20,仕事の説明書〜あなたは今どんなゲームをしているのか〜 (土日出版),"￥1,200"
19,走る奴なんて馬鹿だと思ってた,￥572
18,アマテラスの暗号 〈歴史ミステリー小説〉,￥250
17,iPadはかどる！仕事技(iPadOSにも対応した最新版）,"￥1,320"
16,健康の結論,"￥1,109"
15,Google便利すぎる！240のテクニック,￥880
14,プログラミング経験者のためのSwift最速入門,￥250
13,ゼロから始める超入門  はじめてのプログラミング AppleのSwiftでiPhoneアプリをいちから作ろう (Mac Fan Special),"￥1,700"
12,詳細！Swift2 iPhoneアプリ開発 入門ノート Swift 2+Xcode 7対応,"￥3,498"
11,"Beginning iOS 13 & Swift App Development: Develop iOS Apps with Xcode 11, Swift 5, Core ML, ARKit and more (English Edition)","￥1,089"
10,楽しみながら作ってみよう！ はじめてのAndroidアプリプログラミング,"￥2,096"
9,JavaからはじめようAndroidプログラミング―Android Studio対応版,"￥2,299"
8,Androidアプリを作ろう [Android Studio 2.1対応版],￥690
7,Web制作者のためのGitHubの教科書 チームの効率を最大化する共同開発ツール Web制作者のための教科書シリーズ,"￥1,881"
6,最速の仕事術はプログラマーが知っている,"￥1,318"
5,"これ1冊でゼロから学べる Webプログラミング超入門　ーHTML,CSS,JavaScript,PHPをまるごとマスター","￥2,801"
4,６ステップでマスターする　「最新標準」HTML+CSSデザイン（リフロー版）,"￥3,010"
3,できるポケット HTML5&CSS3/2.1全事典 できるポケットシリーズ,"￥1,584"
2,６ステップでマスターする　「最新標準」HTML CSSデザイン（固定レイアウト版）,"￥3,010"
1,macOS Catalina パーフェクトマニュアル,"￥2,178"
0,iPad便利すぎる!  275のテクニック,￥990
